No.s    Time            T1      T2      T1-T2   Unit
1	09:21:46	----	21.5	----	C	
2	09:25:46	----	22.0	----	C	
3	09:29:46	----	22.2	----	C	
4	09:33:46	----	22.1	----	C	
5	09:37:46	----	22.1	----	C	
6	09:41:46	----	20.2	----	C	
7	09:45:46	----	18.2	----	C	
8	09:49:46	----	17.3	----	C	
9	09:53:46	----	16.8	----	C	
10	09:57:46	----	16.4	----	C	
11	10:01:46	----	16.1	----	C	
12	10:05:46	----	16.1	----	C	
13	10:09:46	----	16.0	----	C	
14	10:13:46	----	15.8	----	C	
15	10:17:46	----	15.8	----	C	
16	10:21:46	----	15.7	----	C	
17	10:25:46	----	15.6	----	C	
18	10:29:46	----	15.6	----	C	
19	10:33:46	----	15.5	----	C	
20	10:37:46	----	15.4	----	C	
21	10:41:46	----	15.4	----	C	
22	10:45:46	----	15.4	----	C	
23	10:49:46	----	15.3	----	C	
24	10:53:46	----	15.3	----	C	
25	10:57:46	----	15.2	----	C	
26	11:01:46	----	15.2	----	C	
27	11:05:46	----	15.2	----	C	
28	11:09:46	----	15.2	----	C	
29	11:13:46	----	15.1	----	C	
30	11:17:46	----	15.1	----	C	
31	11:21:46	----	15.0	----	C	
32	11:25:46	----	14.9	----	C	
33	11:29:46	----	15.0	----	C	
34	11:33:46	----	15.0	----	C	
35	11:37:46	----	14.9	----	C	
36	11:41:46	----	14.9	----	C	
37	11:45:46	----	14.9	----	C	
38	11:49:46	----	14.8	----	C	
39	11:53:46	----	14.9	----	C	
40	11:57:46	----	14.8	----	C	
41	12:01:46	----	14.7	----	C	
42	12:05:46	----	14.8	----	C	
43	12:09:46	----	14.7	----	C	
44	12:13:46	----	14.6	----	C	
45	12:17:46	----	14.7	----	C	
46	12:21:46	----	14.7	----	C	
47	12:25:46	----	14.7	----	C	
48	12:29:46	----	14.7	----	C	
49	12:33:46	----	14.7	----	C	
50	12:37:46	----	14.6	----	C	
51	12:41:46	----	14.6	----	C	
52	12:45:46	----	14.6	----	C	
53	12:49:46	----	14.6	----	C	
54	12:53:46	----	14.5	----	C	
55	12:57:46	----	14.5	----	C	
56	13:01:46	----	14.4	----	C	
57	13:05:46	----	14.4	----	C	
58	13:09:46	----	14.4	----	C	
59	13:13:46	----	14.3	----	C	
60	13:17:46	----	14.4	----	C	
61	13:21:46	----	14.4	----	C	
62	13:25:46	----	14.3	----	C	
63	13:29:46	----	14.3	----	C	
64	13:33:46	----	14.3	----	C	
