"contrast","DateType","estimate","SE","df","t.ratio","p.value"
"CS - NoCo","Secondary",-209.024895020306,32.8324351543185,778,-6.36641461523797,0
"SHAM - CP","Secondary - 1",31.1396912228727,32.8324351543184,778,0.948442936885751,0.877743268564099
"SHAM - (CP+S)","Secondary - 1",63.2172640797423,35.4630831220715,778,1.78262177211539,0.384451551815635
"SHAM - CS","Secondary - 1",38.3711877919254,40.2113565705484,778,0.954237585210672,0.875330527696694
"SHAM - NoCo","Secondary - 1",40.7595259066864,40.2113565705486,778,1.01363220201676,0.849141000711035
"CP - (CP+S)","Secondary - 1",32.0775728568696,35.4630831220714,778,0.904534237659253,0.895181723138124
"CP - CS","Secondary - 1",7.23149656905269,40.2113565705484,778,0.179837170038406,0.999765988206013
"CP - NoCo","Secondary - 1",9.61983468381364,40.2113565705485,778,0.2392317868445,0.999275660790133
"(CP+S) - CS","Secondary - 1",-24.8460762878169,42.3864915227034,778,-0.586179119696864,0.977126783256404
"(CP+S) - NoCo","Secondary - 1",-22.457738173056,42.3864915227036,778,-0.529832438738811,0.984286599054776
"CS - NoCo","Secondary - 1",2.38833811476094,46.4320750809724,778,0.0514372470021197,0.999998411920637
"SHAM - CP","Secondary + 1",-3.92488466742538,26.8075710470323,778,-0.146409559468831,0.999896672772493
"SHAM - (CP+S)","Secondary + 1",-24.4299264195593,28.1160177120776,778,-0.868897105903626,0.908224495181723
"SHAM - CS","Secondary + 1",-20.1372323673887,29.9717755864098,778,-0.67187318646946,0.962412095154703
"SHAM - NoCo","Secondary + 1",-21.1267435081099,29.9717755864098,778,-0.704887951906643,0.955388278345072
"CP - (CP+S)","Secondary + 1",-20.5050417521339,28.1160177120775,778,-0.72930106824217,0.949680248411228
"CP - CS","Secondary + 1",-16.2123476999633,29.9717755864098,778,-0.540920495458218,0.983022130407233
"CP - NoCo","Secondary + 1",-17.2018588406846,29.9717755864098,778,-0.573935260895403,0.978841833076729
"(CP+S) - CS","Secondary + 1",4.2926940521706,31.1475828652285,778,0.137817886888511,0.999918781288159
"(CP+S) - NoCo","Secondary + 1",3.30318291144934,31.1475828652285,778,0.106049414034526,0.999971421247116
"CS - NoCo","Secondary + 1",-0.989511140721261,32.8324351543186,778,-0.0301382196011467,0.999999812679372
"SHAM - CP","Secondary + 2",-22.2175165264566,26.8075710470323,778,-0.828777679539756,0.921705511691953
"SHAM - (CP+S)","Secondary + 2",-16.4274635099977,28.1160177120776,778,-0.584274191253658,0.977399647485022
"SHAM - CS","Secondary + 2",10.5440278083055,29.9717755864097,778,0.351798570555376,0.996716161889365
"SHAM - NoCo","Secondary + 2",-15.5496367320213,29.9717755864098,778,-0.518809327368379,0.985477101232049
"CP - (CP+S)","Secondary + 2",5.79005301645887,28.1160177120775,778,0.205934320989267,0.999599511817524
"CP - CS","Secondary + 2",32.761544334762,29.9717755864097,778,1.09307986242955,0.810158048990001
"CP - NoCo","Secondary + 2",6.66787979443526,29.9717755864098,778,0.22247196450579,0.999456327149799
"(CP+S) - CS","Secondary + 2",26.9714913183031,31.1475828652286,778,0.865925662193602,0.909266685585378
"(CP+S) - NoCo","Secondary + 2",0.877826777976388,31.1475828652286,778,0.0281828218187789,0.999999856756025
"CS - NoCo","Secondary + 2",-26.0936645403268,32.8324351543186,778,-0.794752640724991,0.932141488297955
"SHAM - CP","Secondary + 3",-25.3636775856309,26.8075710470325,778,-0.946138594247559,0.878695578645827
"SHAM - (CP+S)","Secondary + 3",-26.2839949384778,28.1160177120774,778,-0.934840602522005,0.883305481281713
"SHAM - CS","Secondary + 3",-11.8830085794363,29.9717755864096,778,-0.396473293521674,0.994784173403216
"SHAM - NoCo","Secondary + 3",-51.1712183859121,29.9717755864097,778,-1.70731354364988,0.429976798379309
"CP - (CP+S)","Secondary + 3",-0.92031735284696,28.1160177120775,778,-0.0327328486655359,0.999999739374314
"CP - CS","Secondary + 3",13.4806690061945,29.9717755864097,778,0.449778791627785,0.991539465349693
"CP - NoCo","Secondary + 3",-25.8075408002813,29.9717755864097,778,-0.86106145850042,0.910957642382085
"(CP+S) - CS","Secondary + 3",14.4009863590415,31.1475828652284,778,0.462346835109251,0.990603315484208
"(CP+S) - NoCo","Secondary + 3",-24.8872234474343,31.1475828652284,778,-0.799009783684278,0.930885622231321
"CS - NoCo","Secondary + 3",-39.2882098064758,32.8324351543184,778,-1.19662795713489,0.753364630284077
