"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-97.1060622420259,2.99190886950173,-32.4562232599678,7.65001316114144e-150
"2","Capture_SiteScott's House",3.43507416718131,6.84532395484641,0.501813236282166,0.615931984420193
"3","Capture_SiteWarriors Mark Farmhouse",7.14501512610843,4.53437090189385,1.57574562837906,0.11546549265157
