"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-63.8222008499574,2.13897444799564,-29.8377574868942,1.51833752211203e-133
"2","Sex1",1.38347121595656,2.13897444799564,0.646791838608904,0.517945278183115
