"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",139.678015692825,21.5050978624657,6.49511183748733,1.45660504540985e-10
"2","Bat_ID1",-6.56051732417191,9.25280777601831,-0.709029894814809,0.478512494285775
"3","Bat_ID2",33.1319528603994,10.4059692439708,3.18393722714452,0.00150909605242574
"4","Bat_ID3",-36.0480035422884,9.84348800557081,-3.66211687583582,0.000266593408162383
"5","Bat_ID4",-35.6305086946767,14.3718172858753,-2.47919299180728,0.0133730112225794
"6","Bat_ID5",-2.30895539005376,9.46882347896044,-0.243848181897595,0.807410921649727
"7","Bat_ID6",16.9606420090556,8.95275509023714,1.89446062559568,0.0585242999990257
"8","Bat_ID7",8.05502996239266,9.19624804356916,0.875903947374,0.381345167709133
"9","Bat_ID8",18.9096240227409,8.63872106969005,2.18893790761314,0.0288896996938714
"10","Bat_ID9",-46.7032630120266,10.0030915774637,-4.66888287989343,3.55055286483457e-06
"11","Bat_ID10",-2.52685424877387,9.31977582854462,-0.271128221886477,0.78636235808677
"12","Bat_ID11",45.3949142693249,9.21303509668441,4.92724859863625,1.01378063408571e-06
"13","Bat_ID12",-26.5996491447985,8.58135832592282,-3.099701484839,0.00200500527979894
"14","Bat_ID13",61.7689240168361,9.40364183323147,6.56861725619443,9.1400524968856e-11
"15","Bat_ID14",-30.681444365513,8.34068038371704,-3.67853016228872,0.000250280217935034
"16","Bat_ID15",19.0781068139542,15.3148293829785,1.2457276758929,0.213229096002318
"17","Bat_ID16",-12.6568730981978,9.76406512943629,-1.29627085956651,0.195255995989459
"18","Bat_ID17",-2.93296951596328,14.8380178133564,-0.197665857586664,0.843356716943888
"19","Bat_ID18",-2.11944371567849,9.06976105689621,-0.233682420339725,0.815291319559643
"20","Bat_ID19",37.7949658658632,11.6612193399049,3.24108180836013,0.0012400294875774
"21","Bat_ID20",27.3599679635445,8.64097783018535,3.16630461288403,0.00160241800835535
"22","Bat_ID21",-19.5998138540911,14.3179905238128,-1.36889417697923,0.171416581362275
"23","Bat_ID22",40.2588620055154,8.94954016391825,4.49842799385678,7.85969135730821e-06
"24","Bat_ID23",-23.1155638523561,9.07739010454078,-2.54649889297949,0.0110672714184443
"25","Bat_ID24",-27.6216902959533,9.46088461446756,-2.91956740004146,0.00360359261602449
"26","Bat_ID25",-12.6165566152926,14.5855770241455,-0.86500222750233,0.387296869485025
"27","Weight",-7.66738289926532,0.80077377718678,-9.57496750980259,1.23596750010875e-20
