"Variable","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",-88.6442366190863,10.2366989949612,-8.65945522699449,2.47403030922344e-17
"Bat_IDAPS36008",-13.1580530017283,13.7457725422143,-0.957243615178336,0.338725070026107
"Bat_IDAPS36010",-43.9918095298206,17.6841965712372,-2.48763404956559,0.0130563114390971
"Bat_IDAPS36021",-11.1437055965035,13.5575585122349,-0.821955191006326,0.411340168015245
"Bat_IDAPS36026",-9.83001840130893,13.322281161145,-0.737863004271264,0.460807776239403
"Bat_IDAPS36033",-28.9204273948089,13.5673330994338,-2.13162212373306,0.0333332033839881
"Bat_IDAPS36036",-18.5696378229457,13.1840498641537,-1.40849268732174,0.15936243042421
"Bat_IDAPS36057",-31.3027903479331,13.1821845415481,-2.3746284425978,0.0177947179336676
"Bat_IDAPS36103",-25.9495640549986,13.1840498641539,-1.9682543924195,0.0493736619910254
"Bat_IDAPS36106",-12.1819138755241,13.3237090905494,-0.91430350158011,0.3608248496687
"Bat_IDAPS36108",-26.9428016973243,13.1169704659146,-2.0540415004621,0.0402866780714013
"Bat_IDAPS60073",13.1452331365643,13.4826415220801,0.974974608279601,0.329858986118811
"Bat_IDAPS60074",-46.8618023724518,12.9947821702482,-3.60620145520736,0.000329405378139695
"Bat_IDAPS60079",-51.3684968441748,17.6841965712374,-2.90476848282288,0.00377356496836914
"Bat_IDAPS60081",-7.98088386055231,13.8354174671163,-0.576844455869951,0.564202084500965
"Bat_IDAPS60088",-32.8969808454319,17.6841965712372,-1.86024740863477,0.0632066250249151
"Bat_IDAPS60111",-24.5777753939561,13.5673330994343,-1.81154064795394,0.0704211719586624
"Bat_IDAPS60113",-55.1898415251422,13.6567133916752,-4.04122426401543,5.81501209646304e-05
"Bat_IDAPS60115",-23.7643661393451,15.1820369687127,-1.56529497249407,0.117897698459366
"Bat_IDAPS60118",26.8989427727464,13.1840498641538,2.04026403494439,0.0416423829304337
"Bat_IDAPS60123",-38.4810262510163,17.6841965712374,-2.17601213015264,0.029837796494276
"Bat_IDAPS60132",-5.72333227422434,13.1840498641539,-0.434110332803389,0.664321963601786
"Bat_IDAPS60135",-45.3899688700175,13.5673330994342,-3.3455336091004,0.0008583921777118
"Bat_IDAPS60146",-13.7393646802278,13.5673330994342,-1.01267983763152,0.311510373751386
"Bat_IDAPS60156",-78.1406182423198,17.6841965712373,-4.41866939940107,1.12573885375834e-05
"Bat_IDAPS60160",-32.2553716655785,13.1840498641539,-2.44654502963294,0.0146312868430003
"HandledYes",44.7193669233155,3.87100645428461,11.5523875900072,1.02162161938842e-28
