"","DateType","Treatment","AVGMinimum","AVGMaximum","AVGAverage","sd_min_temp","sd_max_temp","sd_avg_temp","n_bats"
"1","Secondary","CP",24.9685586192997,35.0770198799237,30.1688294488367,4.15758810986729,1.24141555848977,2.18808179453173,4
"2","Secondary","CP+S",14.6579655547153,33.7751018842349,22.0695298018267,0.321035802964283,1.70496937006574,3.01141820585532,5
"3","Secondary","CS",14.6051712071323,35.5934319528337,20.7281532230968,0.102840426307301,0.952434093706622,1.09768436200608,4
"4","Secondary","NoCo",22.8200227982642,35.2194527532544,30.1943846268468,0.509705559426709,0.666539154846306,1.5614663866228,3
"5","Secondary","SHAM",23.9385401045466,36.4598708076056,30.5064517751014,1.67886655775993,0.706281034858068,1.05343966408456,6
"6","Secondary + 1","CP",23.1492145287984,35.4270843087628,29.0380815594464,0.476394284715257,0.827193032452539,0.908573908248999,6
"7","Secondary + 1","CP+S",23.6147664494414,34.7699815943251,29.5583072524727,0.416112741848986,1.07688622724443,2.09737917517659,5
"8","Secondary + 1","CS",23.4780237756197,36.2155665682183,29.6870227171795,1.5163125772947,1.08428613509428,0.273757282481026,4
"9","Secondary + 1","NoCo",25.4233833174337,34.9930688442892,29.7945622073606,3.45236957191752,0.881514028473199,2.36118417931745,4
"10","Secondary + 1","SHAM",23.35374616729,36.5471350675192,29.421092864826,0.25209729397609,0.666690827061334,1.16570517911907,6
"11","Secondary + 2","CP",23.9088291426808,35.8471763190566,29.4769430107637,3.21524129987625,1.33395525695028,2.29096746800074,6
"12","Secondary + 2","CP+S",23.4222037500074,35.3619830599505,28.9017590960516,1.71789395047637,0.561087786088772,1.97090674429334,5
"13","Secondary + 2","CS",22.5995095033195,34.9671281361643,28.0857133678767,0.447932416361795,1.44658659695576,0.419516902897287,4
"14","Secondary + 2","NoCo",25.1707284785622,35.2379163001184,29.2384857250227,5.23958925647916,2.17219437655473,3.50976150389696,4
"15","Secondary + 2","SHAM",23.020329536445,36.04836583675,29.0979137301342,0.569679890772489,1.19620746162107,1.42727419221097,6
"16","Secondary + 3","CP",22.9849849230478,34.7640826575462,28.6640108738579,1.02125955966539,1.10942547721705,1.65284529018178,6
"17","Secondary + 3","CP+S",22.7204806057988,34.3682859691611,28.368369370782,0.995399242818946,1.00828189474883,1.49237522233038,5
"18","Secondary + 3","CS",23.100616482152,35.7200032629353,28.0759903944952,0.800358146148761,0.721659265802858,1.178267076332,4
"19","Secondary + 3","NoCo",25.5440526178994,35.4872098401263,29.7783796937114,4.99024567340279,1.50005761249944,3.30667437306452,4
"20","Secondary + 3","SHAM",23.1918759063803,35.5477494996855,28.1539177618624,0.966307689327902,1.15604513603708,1.9720660846198,6
"21","Secondary - 1","CP",22.5951712519455,35.5700547867161,28.4887661826018,0.605604201147645,1.46767269905883,2.83989313337268,4
"22","Secondary - 1","CP+S",22.3925040637928,34.3877882932462,26.8427471568969,0.328506799289882,1.62862832694724,0.655856211628568,3
"23","Secondary - 1","CS",22.864662046242,36.8544367866623,28.3724157571493,0.507659872738487,0.868797274261874,0.99821893929018,2
"24","Secondary - 1","NoCo",22.2841870674122,34.4207647093647,28.0746249336176,0.50399465007645,0.81563885955791,0.693541673524422,2
"25","Secondary - 1","SHAM",24.1973053512826,37.0920257298745,30.252260911237,2.11996274894292,1.43174507993856,1.83511632549826,4
