"","contrast","Treatment","estimate","SE","df","t.ratio","p.value"
"1","None - Basal TC","CP",75.9037600037454,19.0547677594911,285.981867334575,3.98345238114687,8.6234230112341e-05
"2","None - Basal TC","CS",103.259620237855,24.4571574255602,286.048743146626,4.22206139663387,3.25570284683792e-05
"3","None - Basal TC","CP+S",85.8799726791893,19.0318556851956,286.820323962431,4.51243294924693,9.36042580016774e-06
