"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-82.5721975822935,3.24848737125867,-25.418660485757,6.67256852797172e-106
"2","GroupGP 2",-19.3940023575025,4.23983791159638,-4.57423202534654,5.50762076857837e-06
