"","term","statistic","df","Df.res","p.value"
"1","(Intercept)",9.02670025083781,1,271.634799259762,0.00290901595764754
"2","Weight",69.8151797534938,1,621.046195606603,4.26535528293601e-16
"3","Group",9.65317360997777,1,20.7085566350666,0.00539819765352427
"4","Sex",0.480219021430839,1,21.3772798504812,0.495783544519307
"5","Capture_Site",1.40170880123792,2,21.4464777960707,0.267838784536831
"6","Handled",74.1106749675425,1,807.498061367419,3.83305751281009e-17
