"","DateType","Primary_Treatment","AVGMinimum","AVGMaximum","AVGAverage","sd_min_temp","sd_max_temp","sd_avg_temp","n_bats"
"1","Primary","Primary_Cold",21.0051895296916,38.8246883934681,30.4186996283097,6.62699351243012,2.48737009249964,4.1695826225957,10
"2","Primary","Primary_NoCo",29.7010030363349,37.5807412390529,34.8493079437229,3.15353756797725,1.07443087590045,0.561744088314209,6
"3","Primary","SHAM",30.2350041428432,37.372759886803,34.1847415503014,2.25566267787865,0.657302958392013,0.888131129646007,5
"4","Primary + 1","Primary_Cold",28.2694054457827,37.4333909853255,33.1036564422818,3.39686835506555,1.41949588137647,1.37930931082698,10
"5","Primary + 1","Primary_NoCo",27.2900415381275,36.1411311310807,31.9273265885093,4.08004242979185,0.704789930275323,1.67511800925938,5
"6","Primary + 1","SHAM",26.541524376632,36.5662016128487,31.7849620422173,2.20805465300043,1.29764507873296,1.80654356848701,5
"7","Primary + 2","Primary_Cold",28.7102139896014,35.9846070561582,32.9241114629059,2.73820753041614,1.23046673218578,1.05015318653261,10
"8","Primary + 2","Primary_NoCo",24.572975585225,35.179652637809,29.8503186709724,1.56906468782635,1.35633884193024,1.62361589537365,6
"9","Primary + 2","SHAM",24.6264800652402,36.5675772011158,30.8668224254306,1.5798011876485,0.896614392273108,1.52401305449265,5
"10","Primary + 3","Primary_Cold",26.5759018446557,36.5361326141339,31.4903948640831,3.85903416828984,1.43918705439062,2.22693942501587,10
"11","Primary + 3","Primary_NoCo",26.5620032916662,35.9224511603035,31.3057008488741,2.71386684656844,1.78949969688904,1.64816478697265,6
"12","Primary + 3","SHAM",23.8284378357495,36.2707788083028,29.636552743509,0.270999789740359,1.093604528194,1.23629992751771,5
"13","Primary - 1","Primary_Cold",25.6733670082167,36.3823086376654,30.347839718241,2.35297626654827,0.958129687434162,3.17714764101612,10
"14","Primary - 1","Primary_NoCo",26.0677098152768,36.750671801283,31.3620382862426,1.53264605593271,0.650225325428966,1.02474035491257,6
"15","Primary - 1","SHAM",27.8406555894257,37.0691643527853,32.2864525915716,3.28787009779138,0.95832863836679,1.83321084386153,5
