Timestamp for sample frequency every 1 min,Temperature (°C),Relative Humidity (%)
2025-09-04 02:00:00,13.2525,84.1725
2025-09-04 02:01:00,13.2550,84.4375
2025-09-04 02:02:00,13.2575,84.1850
2025-09-04 02:03:00,13.2350,83.7650
2025-09-04 02:04:00,13.2575,84.3850
2025-09-04 02:05:00,13.2500,84.0350
2025-09-04 02:06:00,13.2550,84.1400
2025-09-04 02:07:00,13.2450,84.0475
2025-09-04 02:08:00,13.2550,83.9625
2025-09-04 02:09:00,13.2375,84.3650
2025-09-04 02:10:00,13.2350,83.9875
2025-09-04 02:11:00,13.2300,84.1225
2025-09-04 02:12:00,13.2350,84.2225
2025-09-04 02:13:00,13.2350,84.4875
2025-09-04 02:14:00,13.2350,84.0325
2025-09-04 02:15:00,13.2275,84.4925
2025-09-04 02:16:00,13.2475,84.0900
2025-09-04 02:17:00,13.2450,84.4125
2025-09-04 02:18:00,13.2275,84.1900
2025-09-04 02:19:00,13.2150,84.0975
2025-09-04 02:20:00,13.2475,84.0525
2025-09-04 02:21:00,13.2350,84.2125
2025-09-04 02:22:00,13.2275,83.9525
2025-09-04 02:23:00,13.2125,84.0650
2025-09-04 02:24:00,13.2375,84.2775
2025-09-04 02:25:00,13.2175,84.0100
2025-09-04 02:26:00,13.2175,84.1200
2025-09-04 02:27:00,13.2075,83.9700
2025-09-04 02:28:00,13.1975,84.2825
2025-09-04 02:29:00,13.2325,84.0900
2025-09-04 02:30:00,13.2175,84.3550
2025-09-04 02:31:00,13.2250,84.4575
2025-09-04 02:32:00,13.2450,84.4125
2025-09-04 02:33:00,13.2300,84.1500
2025-09-04 02:34:00,13.2350,84.0150
2025-09-04 02:35:00,13.2375,84.1200
2025-09-04 02:36:00,13.2375,84.6375
2025-09-04 02:37:00,13.2250,84.3575
2025-09-04 02:38:00,13.2325,84.3575
2025-09-04 02:39:00,13.2275,84.4025
2025-09-04 02:40:00,13.2475,84.4200
2025-09-04 02:41:00,13.2350,84.6900
2025-09-04 02:42:00,13.2375,84.3275
2025-09-04 02:43:00,13.2450,84.4775
2025-09-04 02:44:00,13.2375,84.2075
2025-09-04 02:45:00,13.2250,84.0900
2025-09-04 02:46:00,13.2175,84.2450
2025-09-04 02:47:00,13.2350,84.0575
2025-09-04 02:48:00,13.2450,84.1625
2025-09-04 02:49:00,13.2475,83.9700
2025-09-04 02:50:00,13.2300,83.8700
2025-09-04 02:51:00,13.2250,84.0750
2025-09-04 02:52:00,13.2400,84.0425
2025-09-04 02:53:00,13.2400,84.2850
2025-09-04 02:54:00,13.2125,83.9450
2025-09-04 02:55:00,13.2375,84.3425
2025-09-04 02:56:00,13.2425,84.1475
2025-09-04 02:57:00,13.2175,84.3300
2025-09-04 02:58:00,13.2275,84.1975
2025-09-04 02:59:00,13.2375,84.0650
2025-09-04 03:00:00,13.2325,84.4100
2025-09-04 03:01:00,13.2450,84.1450
2025-09-04 03:02:00,13.2475,84.1900
2025-09-04 03:03:00,13.2075,84.4075
2025-09-04 03:04:00,13.2425,84.5025
2025-09-04 03:05:00,13.2350,84.1550
2025-09-04 03:06:00,13.2550,84.2600
