"","Bat_ID","DateType","Minimum","Maximum","Average","n","sd_temp","se_temp"
"1","64","Basal TC",17.9174685598377,36.7418377281947,26.6901616238449,144,4.68122878772956,0.390102398977463
"2","64","Basal TC 2",22.496369168357,37.7593711967546,30.5129783355871,144,3.96435840527898,0.330363200439915
"3","64","Baseline",29.6191034482759,37.2506044624746,33.1098085418075,144,2.09693182572534,0.174744318810445
"4","64","Pre",24.5314361054767,36.7418377281947,29.5908386297048,144,3.10071287540522,0.258392739617101
"5","64","Primary",23.0051359026369,36.7418377281947,29.9512150664864,144,3.61324810070201,0.301104008391834
"6","64","Primary + 1",25.0402028397566,37.2506044624746,34.5301156750056,144,2.3598747371881,0.196656228099009
"7","64","Primary + 2",31.1454036511156,37.7593711967546,33.8305614153707,144,1.79139537071101,0.149282947559251
"8","64","Primary + 3",30.6366369168357,37.2506044624746,33.5797111505522,144,1.94330878568721,0.161942398807267
"9","64","Primary - 1",24.5314361054767,37.2506044624746,31.5340449064683,144,3.81058159406341,0.317548466171951
"10","68","Basal TC",19.1565362557078,36.2903130593607,28.7382929731101,144,4.52737201263259,0.377281001052716
"11","68","Basal TC 2",26.71555543379,38.8099861187215,33.6061613419584,144,2.43605607743663,0.203004673119719
"12","68","Baseline",27.7234246575342,37.8021168949772,32.1993438838153,144,1.93894676807658,0.161578897339715
"13","68","Pre",25.2037515981735,37.298182283105,30.9745028132927,144,3.18093228250825,0.265077690209021
"14","68","Primary",29.2352284931507,36.2903130593607,32.6962794038559,144,1.75607352265438,0.146339460221198
"15","68","Primary + 1",31.2509669406393,37.8021168949772,34.3690623515982,144,1.16780171099199,0.0973168092493324
"16","68","Primary + 2",30.7470323287671,37.8021168949772,34.5440396473871,144,1.3001247923397,0.108343732694975
"17","68","Primary + 3",30.7470323287671,38.3060515068493,33.0637317250127,144,1.5782620262008,0.131521835516733
"18","68","Primary - 1",29.2352284931507,38.3060515068493,33.1197244596651,144,2.29340295616923,0.191116913014103
"19","74","Basal TC",19.398479700782,35.4092413918168,29.4434258919239,144,5.17368528894878,0.431140440745732
"20","74","Basal TC 2",26.9035242434546,37.4105866031962,33.6267933129321,144,2.18349751961678,0.181958126634732
"21","74","Baseline",29.9055420605236,37.910922906041,33.7657756192779,144,1.68680270842899,0.140566892369083
"22","74","Pre",27.4038605462994,35.9095776946617,32.6087479189492,144,2.17514396764343,0.181261997303619
"23","74","Primary",23.9015064263856,36.4099139975065,32.3203596332817,144,2.54801799131134,0.212334832609278
"24","74","Primary + 1",29.9055420605236,38.4112592088859,34.5927203420353,144,1.50362671760929,0.125302226467441
"25","74","Primary + 2",31.4065509690581,37.910922906041,34.7456008790157,144,1.42358845742522,0.118632371452102
"26","74","Primary + 3",29.9055420605236,37.4105866031962,33.2202700668707,144,1.89243197015552,0.157702664179627
"27","74","Primary - 1",27.4038605462994,38.9115955117307,32.6330698225597,144,2.8413361950923,0.236778016257692
