Bat_ID,DateType,Minimum,Maximum,Average
64,Baseline,-1.5,19.7,9.7 ± 4.5
64,Primary + 1,6.6,18.7,12.2 ± 3.3
64,Primary + 2,4.1,16.1,10.5 ± 3.3
64,Primary + 3,2.5,15.6,9.6 ± 4.2
68,Baseline,1.1,16.2,8.2 ± 3.4
68,Primary + 1,5.7,16.7,12.1 ± 2.6
68,Primary + 2,5.2,16.2,11.2 ± 3.1
68,Primary + 3,3.7,15.2,9.1 ± 3.7
74,Baseline,1.8,15.8,9.6 ± 3.6
74,Primary + 1,6.3,19.8,12.3 ± 2.7
74,Primary + 2,4.8,17.3,11.4 ± 3.1
74,Primary + 3,2.3,14.8,9.3 ± 4.1
