"","Bat_ID","DateType","Minimum","Maximum","Average","n","sd_dtemp","se_temp"
"1","64","Baseline",-1.46012981744422,19.6713711967546,9.65520803022079,1562,4.49944125850073,0.113846077429826
"2","64","Primary + 1",6.56017038539554,18.6616044624746,12.2257059527834,144,2.96319297136704,0.24693274761392
"3","64","Primary + 2",4.05240365111562,16.126537525355,10.5160128042596,144,3.32568622868437,0.277140519057031
"4","64","Primary + 3",2.5446369168357,15.6420709939148,9.61555142832995,144,3.99892440157398,0.333243700131165
"5","68","Baseline",1.14322849315069,16.1963784474886,8.23323567478437,432,3.4361675499697,0.165322688329639
"6","68","Primary + 1",5.67864,16.6934438356164,12.0646526293759,144,2.60495655777283,0.217079713147736
"7","68","Primary + 2",5.15303232876713,16.1963784474886,11.229491036276,144,3.11903475332622,0.259919562777185
"8","68","Primary + 3",3.65403232876713,15.2130515068493,9.09957200279046,144,3.70025432737728,0.30835452728144
"9","74","Baseline",1.8152146662133,15.819905088972,9.63601336469077,432,3.6029964328534,0.173349246699764
"10","74","Primary + 1",6.31656878612716,19.8222592088859,12.2883106198131,144,2.71124411620121,0.225937009683434
"11","74","Primary + 2",4.81388727190298,17.3209139975065,11.4310522679046,144,3.06308776747729,0.25525731395644
"12","74","Primary + 3",2.31387836336847,14.8179139975065,9.25611034464845,144,4.12155680973779,0.343463067478149
