No.s	Time	T1	Unit
230	19:23:10	8.3	C
231	19:23:25	8.3	C
232	19:23:40	8.3	C
233	19:23:55	8.3	C
234	19:24:10	8.3	C
235	19:24:25	8.2	C
236	19:24:40	8.2	C
237	19:24:55	8.2	C
238	19:25:10	8.1	C
239	19:25:25	8.1	C
240	19:25:40	8.1	C
241	19:25:55	8.1	C
242	19:26:10	8.1	C
243	19:26:25	7.9	C
244	19:26:40	8	C
245	19:26:55	7.9	C
246	19:27:10	8	C
247	19:27:25	7.9	C
248	19:27:40	7.9	C
249	19:27:55	7.9	C
250	19:28:10	7.9	C
251	19:28:25	7.9	C
252	19:28:40	7.8	C
253	19:28:55	7.8	C
254	19:29:10	7.9	C
255	19:29:25	7.8	C
256	19:29:40	7.8	C
257	19:29:55	7.7	C
258	19:30:10	7.7	C
259	19:30:25	7.7	C
260	19:30:40	7.7	C
261	19:30:55	7.7	C
262	19:31:10	7.7	C
263	19:31:25	7.7	C
264	19:31:40	7.6	C
265	19:31:55	7.6	C
266	19:32:10	7.7	C
267	19:32:25	7.6	C
268	19:32:40	7.6	C
269	19:32:55	7.6	C
270	19:33:10	7.5	C
271	19:33:25	7.6	C
272	19:33:40	7.5	C
273	19:33:55	7.6	C
274	19:34:10	7.5	C
275	19:34:25	7.4	C
276	19:34:40	7.5	C
277	19:34:55	7.5	C
278	19:35:10	7.6	C
279	19:35:25	7.5	C
280	19:35:40	7.5	C
281	19:35:55	7.4	C
282	19:36:10	7.4	C
283	19:36:25	7.4	C
284	19:36:40	7.4	C
285	19:36:55	7.4	C
286	19:37:10	7.3	C
287	19:37:25	7.4	C
288	19:37:40	7.4	C
289	19:37:55	7.3	C
290	19:38:10	7.3	C
291	19:38:25	7.4	C
292	19:38:40	7.3	C
293	19:38:55	7.3	C
294	19:39:10	7.3	C
295	19:39:25	7.3	C
296	19:39:40	7.3	C
297	19:39:55	7.3	C
298	19:40:10	7.3	C
299	19:40:25	7.2	C
300	19:40:40	7.2	C
301	19:40:55	7.3	C
302	19:41:10	7.2	C
303	19:41:25	7.2	C
304	19:41:40	7.3	C
305	19:41:55	7.2	C
306	19:42:10	7.2	C
307	19:42:25	7.2	C
308	19:42:40	7.2	C
309	19:42:55	7.2	C
310	19:43:10	7.2	C
311	19:43:25	7.2	C
312	19:43:40	7.2	C
313	19:43:55	7.2	C
314	19:44:10	7.2	C
315	19:44:25	7.1	C
316	19:44:40	7.1	C
317	19:44:55	7.1	C
318	19:45:10	7.1	C
319	19:45:25	7.1	C
320	19:45:40	7.1	C
321	19:45:55	7.1	C
322	19:46:10	7.1	C
323	19:46:25	7.1	C
324	19:46:40	7.1	C
325	19:46:55	7.1	C
326	19:47:10	7.1	C
327	19:47:25	7.1	C
328	19:47:40	7.1	C
329	19:47:55	7.1	C
330	19:48:10	7.1	C
331	19:48:25	7	C
332	19:48:40	7	C
333	19:48:55	7	C
334	19:49:10	7	C
335	19:49:25	7	C
336	19:49:40	7	C
337	19:49:55	6.9	C
338	19:50:10	6.9	C
339	19:50:25	6.9	C
340	19:50:40	6.9	C
341	19:50:55	6.9	C
342	19:51:10	6.9	C
343	19:51:25	6.9	C
344	19:51:40	7	C
345	19:51:55	6.9	C
346	19:52:10	6.9	C
347	19:52:25	7	C
348	19:52:40	6.9	C
349	19:52:55	6.9	C
350	19:53:10	6.9	C
351	19:53:25	6.9	C
352	19:53:40	6.9	C
353	19:53:55	6.8	C
354	19:54:10	6.9	C
355	19:54:25	6.9	C
356	19:54:40	6.9	C
357	19:54:55	6.9	C
358	19:55:10	6.9	C
359	19:55:25	6.9	C
360	19:55:40	6.9	C
361	19:55:55	6.9	C
362	19:56:10	6.9	C
363	19:56:25	6.9	C
364	19:56:40	6.8	C
365	19:56:55	6.8	C
366	19:57:10	6.8	C
367	19:57:25	6.8	C
368	19:57:40	6.8	C
369	19:57:55	6.9	C
370	19:58:10	6.9	C
371	19:58:25	6.8	C
372	19:58:40	6.8	C
373	19:58:55	6.8	C
374	19:59:10	6.8	C
375	19:59:25	6.8	C
376	19:59:40	6.8	C
377	19:59:55	6.8	C
378	20:00:10	6.8	C
379	20:00:25	6.8	C
380	20:00:40	6.8	C
381	20:00:55	6.7	C
382	20:01:10	6.7	C
383	20:01:25	6.7	C
384	20:01:40	6.7	C
385	20:01:55	6.7	C
386	20:02:10	6.7	C
387	20:02:25	6.7	C
388	20:02:40	6.7	C
389	20:02:55	6.7	C
390	20:03:10	6.7	C
391	20:03:25	6.7	C
392	20:03:40	6.7	C
393	20:03:55	6.7	C
394	20:04:10	6.7	C
395	20:04:25	6.7	C
396	20:04:40	6.7	C
397	20:04:55	6.7	C
398	20:05:10	6.7	C
399	20:05:25	6.7	C
400	20:05:40	6.7	C
401	20:05:55	6.7	C
402	20:06:10	6.7	C
403	20:06:25	6.7	C
404	20:06:40	6.7	C
405	20:06:55	6.7	C
406	20:07:10	6.6	C
407	20:07:25	6.6	C
408	20:07:40	6.6	C
409	20:07:55	6.7	C
410	20:08:10	6.7	C
411	20:08:25	6.7	C
412	20:08:40	6.7	C
413	20:08:55	6.6	C
414	20:09:10	6.6	C
415	20:09:25	6.6	C
416	20:09:40	6.6	C
417	20:09:55	6.6	C
418	20:10:10	6.6	C
419	20:10:25	6.6	C
420	20:10:40	6.6	C
421	20:10:55	6.6	C
422	20:11:10	6.6	C
423	20:11:25	6.6	C
424	20:11:40	6.6	C
425	20:11:55	6.6	C
426	20:12:10	6.6	C
427	20:12:25	6.6	C
428	20:12:40	6.5	C
429	20:12:55	6.5	C
430	20:13:10	6.5	C
431	20:13:25	6.5	C
432	20:13:40	6.5	C
433	20:13:55	6.5	C
434	20:14:10	6.5	C
435	20:14:25	6.4	C
436	20:14:40	6.4	C
437	20:14:55	6.4	C
438	20:15:10	6.4	C
439	20:15:25	6.4	C
440	20:15:40	6.4	C
441	20:15:55	6.4	C
442	20:16:10	6.4	C
443	20:16:25	6.4	C
444	20:16:40	6.4	C
445	20:16:55	6.3	C
446	20:17:10	6.3	C
447	20:17:25	6.3	C
448	20:17:40	6.3	C
449	20:17:55	6.3	C
450	20:18:10	6.3	C
451	20:18:25	6.3	C
452	20:18:40	6.3	C
453	20:18:55	6.3	C
454	20:19:10	6.2	C
455	20:19:25	6.2	C
456	20:19:40	6.2	C
457	20:19:55	6.2	C
458	20:20:10	6.2	C
459	20:20:25	6.2	C
460	20:20:40	6.2	C
