"","Bat_ID","DateType","n","Avg_Min","sd_min","Avg_Max","sd_max","Avg_Mean","sd_mean"
"1","64","Baseline",11,28.7865760649087,2.02579551333384,37.4818620689655,0.417290237488239,33.4137484172977,0.728881813806019
"2","68","Baseline",3,27.7234246575342,0.503934611872145,37.9700950989346,0.290946783818349,32.2483375266362,0.300472243240369
"3","74","Baseline",3,30.0723208281386,0.288869299132808,37.7441441384261,0.288869299132812,33.6511152165426,0.124260985956302
