"","Treatment","DateType","Group","n","Avg_Min","se_min","Avg_Max","se_max","Avg_Mean","se_mean"
"1","Cold","Baseline",3,5,32.5012505837262,0.611314537172142,38.3132572977967,0.210823906016981,35.6760169086818,0.415940694918978
"2","Cold","Secondary",3,7,31.0289688646108,0.547990121596192,37.3385987968781,0.209438245995729,34.2560813546901,0.197950259431256
"3","Cold","Secondary + 1",3,7,28.1668977192941,1.03663844373178,37.6948283513694,0.39628971671521,32.8580466256757,0.373554000207046
"4","Cold","Secondary - 1",3,6,30.9588554673126,0.863207059408719,37.8133705139542,0.340434148105469,34.8622814190705,0.23750290928488
"5","NoCo","Baseline",1,2,31.0315853962942,0.604066365936225,36.7949377186799,0.840561642558505,33.6903830436462,0.150663433523551
"6","NoCo","Baseline",2,2,24.1270330155661,0.847287557918731,38.2295572895797,0.184723696515967,31.86305715685,0.226035193852249
"7","NoCo","Bleed",1,2,30.5315980963768,0.104079066018889,37.0473856183361,0.0881264429849793,33.3267273113975,0.614421444896177
"8","NoCo","Secondary",1,2,32.0376956203727,0.902031158059597,37.0486127431849,0.413087981781125,34.4609464136573,0.773263441349496
"9","NoCo","Secondary",2,2,25.3926755056044,2.93191512819243,36.7205349327358,1.18926153574493,31.9614372274051,2.51856519423517
"10","NoCo","Secondary + 1",1,2,32.53768292029,0.40204385814226,37.2998335179923,0.664308756588554,34.7197472802469,0.282083358063058
"11","NoCo","Secondary + 1",2,2,24.8873047487893,1.92383233216272,38.2304435287799,0.688321974930726,31.9969670512809,1.84191962922368
"12","NoCo","Secondary + 2",1,2,31.534026945909,0.101624816321362,36.2937232939138,0.841788767407269,33.9671501683669,0.0364970004164427
"13","NoCo","Secondary + 2",2,2,29.6728177525298,2.68764902218662,37.2232469719504,0.686549496530358,33.4857754513855,1.27449614670752
"14","NoCo","Secondary + 3",1,2,29.5279421219959,0.607747740482512,36.7949377186799,0.840561642558505,33.3017739704836,0.271328578926457
"15","NoCo","Secondary + 3",2,2,25.1377745291964,1.16887803414068,38.2295572895797,0.184723696515967,31.7008342626305,1.48992994732716
"16","NoCo","Secondary - 1",1,2,31.0352667708405,0.899576908362073,36.2949504187626,0.340574342641165,33.8363053831429,0.413985717012068
"17","NoCo","Secondary - 1",2,2,31.9359081681955,0.929043124135791,38.7340418071947,0.689208214130911,34.7405694807945,1.16029756932679
"18","Sham","Baseline",1,2,25.6892807934011,1.88204927751423,37.2523057740843,0.681965098744996,32.4265543424181,0.74854375623471
"19","Sham","Baseline",2,2,23.6352825590442,0.691511102567619,38.1849584470535,0.254489201866956,33.6540501368424,0.671413190099678
"20","Sham","Bleed",1,2,28.1958940907642,2.87505121520492,37.499982247718,0.0702484947795163,32.9299929325399,0.689283308478299
"21","Sham","Secondary",1,2,25.4301241039881,3.6410410676645,36.7477686541935,0.17742797885419,31.7023362432647,1.44824152877311
"22","Sham","Secondary",2,2,26.1425437989123,0.199609208414309,37.1852374023797,0.745231842806842,32.4698953074071,0.716082144742627
"23","Sham","Secondary + 1",1,2,26.693762946871,1.87745719120254,36.9977411709831,0.0725445379353644,32.165578006139,0.821823261883324
"24","Sham","Secondary + 1",2,2,30.409265152189,0.467446382995831,37.6831082676707,0.256478858912853,33.7910687084847,0.804960508114721
"25","Sham","Secondary + 2",1,2,26.9391433773489,3.13191186146201,36.4932040510923,0.577081657826163,32.3352018472526,1.48196930289068
"26","Sham","Secondary + 2",2,2,29.6594743686837,1.21723716650118,37.9350281858851,0.00455894069850515,33.8966103346109,0.615445575917068
"27","Sham","Secondary + 3",1,2,27.6867648845617,4.38407048856563,37.2477136877726,0.322517054724923,32.2559353573224,2.03687794282323
"28","Sham","Secondary + 3",2,2,30.6631747274493,1.22121648059298,37.6890772388084,1.24907167923553,34.1593999767803,0.97195906602462
"29","Sham","Secondary - 1",1,2,22.6735382898355,2.39806661318426,37.2477136877726,0.322517054724923,30.330263410944,1.17070454628547
"30","Sham","Secondary - 1",2,2,32.4126865556284,0.528295347586168,38.4388680223138,0.499280895730187,35.3383703782454,0.399450161854208
