id	Experiment_Day	Temperature
MST60063	17.003483796296297	32.5
MST60063	17.01042824074074	32
MST60063	17.017372685185187	32.5
MST60063	17.02431712962963	32.5
MST60063	17.031261574074072	32
MST60063	17.03820601851852	32
MST60063	17.045150462962962	33.5
MST60063	17.052094907407408	33.5
MST60063	17.05903935185185	33
MST60063	17.065983796296297	33.5
MST60063	17.07292824074074	31.5
MST60063	17.079872685185187	30.5
MST60063	17.08681712962963	33
MST60063	17.093761574074072	34
MST60063	17.10070601851852	32
MST60063	17.107650462962962	33
MST60063	17.114594907407408	31.5
MST60063	17.12153935185185	30
MST60063	17.128483796296297	32
MST60063	17.13542824074074	33
MST60063	17.142372685185187	32.5
MST60063	17.14931712962963	31.5
MST60063	17.156261574074072	33
MST60063	17.16320601851852	32.5
MST60063	17.170150462962962	34
MST60063	17.177094907407408	32.5
MST60063	17.18403935185185	32.5
MST60063	17.190983796296297	33
MST60063	17.19792824074074	33
MST60063	17.204872685185187	31.5
MST60063	17.21181712962963	31.5
MST60063	17.218761574074072	34
MST60063	17.22570601851852	33.5
MST60063	17.232650462962962	32.5
MST60063	17.239594907407408	32
MST60063	17.24653935185185	32.5
MST60063	17.253483796296297	32.5
MST60063	17.26042824074074	34.5
MST60063	17.267372685185187	34.5
MST60063	17.27431712962963	33
MST60063	17.281261574074072	33
MST60063	17.28820601851852	32.5
MST60063	17.295150462962962	32.5
MST60063	17.302094907407408	32.5
MST60063	17.30903935185185	33
MST60063	17.315983796296297	31.5
MST60063	17.32292824074074	31.5
MST60063	17.329872685185187	29.5
MST60063	17.33681712962963	32
MST60063	17.343761574074072	32
MST60063	17.35070601851852	32.5
MST60063	17.357650462962962	32
MST60063	17.364594907407408	33
MST60063	17.37153935185185	32
MST60063	17.378483796296297	33
MST60063	17.38542824074074	32.5
MST60063	17.392372685185187	32.5
MST60063	17.39931712962963	32.5
MST60063	17.406261574074072	33
MST60063	17.41320601851852	32.5
MST60063	17.420150462962962	32.5
MST60063	17.427094907407408	32.5
MST60063	17.43403935185185	32.5
MST60063	17.440983796296297	32.5
MST60063	17.44792824074074	32.5
MST60063	17.454872685185187	32.5
MST60063	17.46181712962963	33
MST60063	17.468761574074072	32.5
MST60063	17.47570601851852	33
MST60063	17.482650462962962	33
MST60063	17.489594907407408	33.5
MST60063	17.49653935185185	33.5
MST60063	17.503483796296297	33.5
MST60063	17.51042824074074	33
MST60063	17.517372685185187	33.5
MST60063	17.52431712962963	33
MST60063	17.531261574074072	33
MST60063	17.53820601851852	33
MST60063	17.545150462962962	32.5
MST60063	17.552094907407408	33
MST60063	17.55903935185185	32.5
MST60063	17.565983796296297	33
MST60063	17.57292824074074	32.5
MST60063	17.579872685185187	32.5
MST60063	17.58681712962963	32
MST60063	17.593761574074072	32.5
MST60063	17.60070601851852	32.5
MST60063	17.607650462962962	32
MST60063	17.614594907407408	32.5
MST60063	17.62153935185185	32.5
MST60063	17.628483796296297	32
MST60063	17.63542824074074	32.5
MST60063	17.642372685185187	32.5
MST60063	17.64931712962963	32.5
MST60063	17.656261574074072	32
MST60063	17.66320601851852	32.5
MST60063	17.670150462962962	32.5
MST60063	17.677094907407408	32.5
MST60063	17.68403935185185	32
MST60063	17.690983796296297	32.5
MST60063	17.69792824074074	32.5
MST60063	17.704872685185187	32
MST60063	17.71181712962963	32
MST60063	17.718761574074072	32
MST60063	17.72570601851852	32.5
MST60063	17.732650462962962	32
MST60063	17.739594907407408	32.5
MST60063	17.74653935185185	32
MST60063	17.753483796296297	32.5
MST60063	17.76042824074074	32.5
MST60063	17.767372685185187	32
MST60063	17.77431712962963	32
MST60063	17.781261574074072	32.5
MST60063	17.78820601851852	32
MST60063	17.795150462962962	32
MST60063	17.802094907407408	32
MST60063	17.80903935185185	32.5
MST60063	17.815983796296297	32.5
MST60063	17.82292824074074	32.5
MST60063	17.829872685185187	32
MST60063	17.83681712962963	32
MST60063	17.843761574074072	32
MST60063	17.85070601851852	32
MST60063	17.857650462962962	32
MST60063	17.864594907407408	31.5
